id,title,movie_or_album,year,categories,mood,energy,best_for,language,source_type
song_0001,Pehla Nasha,Jo Jeeta Wohi Sikandar,1992,90s;Romantic;Evergreen,Romantic,Low,Morning;Night,Hindi,curated_catalog
song_0002,Ae Mere Humsafar,Baazigar,1993,90s;Romantic,Romantic,Low,Morning;Night,Hindi,curated_catalog
song_0003,Tu Cheez Badi Hai Mast Mast,Mohra,1994,90s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0004,Tip Tip Barsa Paani,Mohra,1994,90s;Romantic;Rain,Romantic,Medium,Rainy,Hindi,curated_catalog
song_0005,Didi Tera Devar Deewana,Hum Aapke Hain Koun,1994,90s;Wedding;Fun,Fun,High,Day,Hindi,curated_catalog
song_0006,Yeh Kaali Kaali Aankhen,Baazigar,1993,90s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0007,Chura Ke Dil Mera,Main Khiladi Tu Anari,1994,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0008,Ole Ole,Yeh Dillagi,1994,90s;DJ;Fun,Fun,High,Any,Hindi,curated_catalog
song_0009,Ghar Se Nikalte Hi,Papa Kehte Hain,1996,90s;Romantic;Travel,Romantic,Medium,Morning;Evening,Hindi,curated_catalog
song_0010,Pardesi Pardesi,Raja Hindustani,1996,90s;Sad;Evergreen,Sad,Low,Night,Hindi,curated_catalog
song_0011,Kitna Pyaara Tujhe Rab Ne Banaya,Raja Hindustani,1996,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0012,Aaye Ho Meri Zindagi Mein,Raja Hindustani,1996,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0013,Dheere Dheere Se Meri Zindagi Mein Aana,Aashiqui,1990,90s;Romantic;Evergreen,Romantic,Low,Night,Hindi,curated_catalog
song_0014,Nazar Ke Saamne,Aashiqui,1990,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0015,Bas Ek Sanam Chahiye,Aashiqui,1990,90s;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0016,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,1991,90s;Travel;Romantic,Travel,Medium,Day,Hindi,curated_catalog
song_0017,O Mere Sapno Ke Saudagar,Dil Hai Ki Manta Nahin,1991,90s;Romantic,Romantic,Medium,Day,Hindi,curated_catalog
song_0018,Ek Ladki Ko Dekha,1942: A Love Story,1994,90s;Romantic;Evergreen,Romantic,Low,Evening,Hindi,curated_catalog
song_0019,Kuch Na Kaho,1942: A Love Story,1994,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0020,Rim Jhim Rim Jhim,1942: A Love Story,1994,90s;Rain;Romantic,Romantic,Low,Rainy;Night,Hindi,curated_catalog
song_0021,Tum Mile Dil Khile,Criminal,1995,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0022,Mera Dil Bhi Kitna Pagal Hai,Saajan,1991,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0023,Bahut Pyaar Karte Hain,Saajan,1991,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0024,Dekha Hai Pehli Baar,Saajan,1991,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0025,Jeeye To Jeeye Kaise,Saajan,1991,90s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0026,Pehla Pehla Pyar Hai,Hum Aapke Hain Koun,1994,90s;Romantic,Romantic,Medium,Day,Hindi,curated_catalog
song_0027,Mausam Ka Jaadu,Hum Aapke Hain Koun,1994,90s;Romantic;Fun,Happy,Medium,Day,Hindi,curated_catalog
song_0028,Joote De Do Paise Le Lo,Hum Aapke Hain Koun,1994,90s;Fun;Wedding,Fun,High,Day,Hindi,curated_catalog
song_0029,Wah Wah Ramji,Hum Aapke Hain Koun,1994,90s;Fun;Wedding,Fun,High,Day,Hindi,curated_catalog
song_0030,Tujhe Dekha To Yeh Jaana Sanam,Dilwale Dulhania Le Jayenge,1995,90s;Romantic;Evergreen,Romantic,Medium,Evening,Hindi,curated_catalog
song_0031,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,1995,90s;Romantic,Happy,High,Day,Hindi,curated_catalog
song_0032,Ho Gaya Hai Tujhko To Pyar Sajna,Dilwale Dulhania Le Jayenge,1995,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0033,Zara Sa Jhoom Loon Main,Dilwale Dulhania Le Jayenge,1995,90s;Fun;Dance,Fun,High,Day,Hindi,curated_catalog
song_0034,Ruk Ja O Dil Deewane,Dilwale Dulhania Le Jayenge,1995,90s;Dance;Fun,Fun,High,Any,Hindi,curated_catalog
song_0035,Mehndi Laga Ke Rakhna,Dilwale Dulhania Le Jayenge,1995,90s;Wedding;Dance,Celebration,High,Day,Hindi,curated_catalog
song_0036,Bholi Si Surat,Dil To Pagal Hai,1997,90s;Romantic;Dance,Happy,High,Day,Hindi,curated_catalog
song_0037,Dholna,Dil To Pagal Hai,1997,90s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0038,Are Re Are,Dil To Pagal Hai,1997,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0039,Le Gayi Le Gayi,Dil To Pagal Hai,1997,90s;Dance;DJ,Party,High,Any,Hindi,curated_catalog
song_0040,Koi Ladki Hai,Dil To Pagal Hai,1997,90s;Dance;Fun,Fun,High,Day,Hindi,curated_catalog
song_0041,Aankhon Se Tune Kya Keh Diya,Ghulam,1998,90s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0042,Aati Kya Khandala,Ghulam,1998,90s;Fun;Travel,Fun,High,Day,Hindi,curated_catalog
song_0043,Chaiyya Chaiyya,Dil Se,1998,90s;Travel;DJ;Evergreen,Travel,High,Any,Hindi,curated_catalog
song_0044,Satrangi Re,Dil Se,1998,90s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0045,Jiya Jale,Dil Se,1998,90s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0046,Dil Se Re,Dil Se,1998,90s;Travel;DJ,Travel,High,Any,Hindi,curated_catalog
song_0047,Chand Taare,Yes Boss,1997,90s;Romantic;Evergreen,Happy,Medium,Day,Hindi,curated_catalog
song_0048,Main Koi Aisa Geet Gaoon,Yes Boss,1997,90s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0049,Ek Din Aap Yun,Yes Boss,1997,90s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0050,Aankhon Mein Base Ho Tum,Takkar,1995,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0051,Humko Sirf Tumse Pyaar Hai,Barsaat,1995,90s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0052,Nahin Saamne Tu,Taal,1999,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0053,Ishq Bina,Taal,1999,90s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0054,Taal Se Taal Mila,Taal,1999,90s;Travel;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0055,Ramta Jogi,Taal,1999,90s;Travel;Dance,Travel,High,Day,Hindi,curated_catalog
song_0056,Zindagi Ek Safar Hai Suhana,Andaz,1971,Evergreen;Travel;Highway,Travel,High,Day,Hindi,curated_catalog
song_0057,Musafir Hoon Yaaron,Parichay,1972,Evergreen;Travel;Highway,Travel,Medium,Day,Hindi,curated_catalog
song_0058,Main Zindagi Ka Saath,Hum Dono,1961,Evergreen;Travel,Relaxed,Low,Morning,Hindi,curated_catalog
song_0059,Mere Sapno Ki Rani,Aradhana,1969,Evergreen;Travel;Romantic,Happy,High,Day,Hindi,curated_catalog
song_0060,Roop Tera Mastana,Aradhana,1969,Evergreen;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0061,O Mere Dil Ke Chain,Mere Jeevan Saathi,1972,Evergreen;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0062,Yeh Shaam Mastani,Kati Patang,1971,Evergreen;Travel,Relaxed,Medium,Evening,Hindi,curated_catalog
song_0063,Pal Pal Dil Ke Paas,Blackmail,1973,Evergreen;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0064,Neele Neele Ambar Par,Kalakaar,1983,Evergreen;Romantic;Night,Relaxed,Low,Night,Hindi,curated_catalog
song_0065,Chookar Mere Man Ko,Yaarana,1981,Evergreen;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0066,Kya Hua Tera Wada,Hum Kisise Kum Naheen,1977,Evergreen;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0067,Zindagi Ke Safar Mein,Aap Ki Kasam,1974,Evergreen;Sad;Travel,Reflective,Low,Night,Hindi,curated_catalog
song_0068,Aanewala Pal,Gol Maal,1979,Evergreen;Travel,Reflective,Low,Evening,Hindi,curated_catalog
song_0069,Rimjhim Gire Saawan,Manzil,1979,Evergreen;Rain;Romantic,Romantic,Low,Rainy,Hindi,curated_catalog
song_0070,O Saathi Chal,Seeta Aur Geeta,1972,Evergreen;Travel,Happy,Medium,Day,Hindi,curated_catalog
song_0071,Pyar Deewana Hota Hai,Kati Patang,1971,Evergreen;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0072,Humein Tumse Pyaar Kitna,Kudrat,1981,Evergreen;Romantic;Sad,Romantic,Low,Night,Hindi,curated_catalog
song_0073,Aap Ki Aankhon Mein Kuch,Ghar,1978,Evergreen;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0074,Gulabi Aankhen,The Train,1970,Evergreen;Romantic;Travel,Happy,Medium,Any,Hindi,curated_catalog
song_0075,Ek Ajnabee Haseena Se,Ajanabee,1974,Evergreen;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0076,O Saathi Re,Muqaddar Ka Sikandar,1978,Evergreen;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0077,Chura Liya Hai Tumne Jo Dil Ko,Yaadon Ki Baaraat,1973,Evergreen;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0078,Tere Bina Zindagi Se,Aandhi,1975,Evergreen;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0079,Tum Aa Gaye Ho Noor Aa Gaya,Aandhi,1975,Evergreen;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0080,Do Lafzon Ki Hai Dil Ki Kahani,The Great Gambler,1979,Evergreen;Romantic;Travel,Romantic,Medium,Evening,Hindi,curated_catalog
song_0081,Yeh Jo Mohabbat Hai,Kati Patang,1971,Evergreen;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0082,Zindagi Pyar Ka Geet Hai,Souten,1983,Evergreen;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0083,Pyaar Hua Iqraar Hua,Shree 420,1955,Evergreen;Rain;Romantic,Romantic,Low,Rainy,Hindi,curated_catalog
song_0084,Lag Ja Gale,Woh Kaun Thi?,1964,Evergreen;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0085,Ajeeb Dastan Hai Yeh,Dil Apna Aur Preet Parai,1960,Evergreen;Sad,Reflective,Low,Night,Hindi,curated_catalog
song_0086,Aaj Phir Jeene Ki Tamanna Hai,Guide,1965,Evergreen;Travel;Happy,Happy,High,Day,Hindi,curated_catalog
song_0087,Gaata Rahe Mera Dil,Guide,1965,Evergreen;Travel;Romantic,Happy,Medium,Day,Hindi,curated_catalog
song_0088,Kahin Door Jab Din Dhal Jaye,Anand,1971,Evergreen;Sad;Night,Reflective,Low,Evening,Hindi,curated_catalog
song_0089,Zindagi Kaisi Hai Paheli,Anand,1971,Evergreen;Reflective,Reflective,Low,Any,Hindi,curated_catalog
song_0090,Aane Wala Pal,Gol Maal,1979,Evergreen;Travel,Reflective,Low,Evening,Hindi,curated_catalog
song_0091,Mere Samne Wali Khidki Mein,Padosan,1968,Evergreen;Fun;Romantic,Fun,Medium,Day,Hindi,curated_catalog
song_0092,Ek Chatur Naar,Padosan,1968,Evergreen;Fun,Fun,High,Day,Hindi,curated_catalog
song_0093,Khaike Paan Banaraswala,Don,1978,Evergreen;Fun;DJ,Fun,High,Any,Hindi,curated_catalog
song_0094,Pag Ghunghroo Baandh,Namak Halaal,1982,Evergreen;Dance;DJ,Party,High,Any,Hindi,curated_catalog
song_0095,Jahan Teri Yeh Nazar Hai,Kaalia,1981,Evergreen;DJ,Party,High,Any,Hindi,curated_catalog
song_0096,Apni To Jaise Taise,Laawaris,1981,Evergreen;DJ;Fun,Party,High,Any,Hindi,curated_catalog
song_0097,My Name Is Anthony Gonsalves,Amar Akbar Anthony,1977,Evergreen;Fun,Fun,High,Any,Hindi,curated_catalog
song_0098,Aaj Rapat Jaayen To,Namak Halaal,1982,Evergreen;Romantic;Rain,Romantic,Medium,Rainy,Hindi,curated_catalog
song_0099,Jimmy Jimmy Aaja,Disco Dancer,1982,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0100,I Am A Disco Dancer,Disco Dancer,1982,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0101,Auva Auva Koi Yahan Nache,Disco Dancer,1982,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0102,Zooby Zooby,Dance Dance,1987,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0103,Hari Din Toh Gaya,Namak Halaal,1982,80s;Evergreen,Relaxed,Medium,Day,Hindi,curated_catalog
song_0104,Hawa Hawai,Mr. India,1987,80s;Dance;Fun,Fun,High,Day,Hindi,curated_catalog
song_0105,Kate Nahin Kat Te,Mr. India,1987,80s;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0106,Zindagi Ki Yahi Reet Hai,Mr. India,1987,80s;Reflective,Reflective,Low,Any,Hindi,curated_catalog
song_0107,Tirchi Topiwale,Tridev,1989,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0108,Oye Oye,Tridev,1989,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0109,Gali Gali Mein Phirta Hai,Tridev,1989,80s;DJ,Party,High,Any,Hindi,curated_catalog
song_0110,So Gaya Yeh Jahan,Tezaab,1988,80s;Night;Sad,Reflective,Low,Night,Hindi,curated_catalog
song_0111,Ek Do Teen,Tezaab,1988,80s;Dance;DJ,Party,High,Any,Hindi,curated_catalog
song_0112,Tumko Dekha To Yeh Khayal Aaya,Saath Saath,1982,80s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0113,Tum Itna Jo Muskura Rahe Ho,Arth,1982,80s;Sad;Evergreen,Reflective,Low,Night,Hindi,curated_catalog
song_0114,Huzoor Is Kadar,Masoom,1983,80s;Romantic,Relaxed,Low,Evening,Hindi,curated_catalog
song_0115,Tujhse Naraz Nahi Zindagi,Masoom,1983,80s;Sad,Reflective,Low,Night,Hindi,curated_catalog
song_0116,Lakdi Ki Kaathi,Masoom,1983,80s;Fun,Fun,Medium,Day,Hindi,curated_catalog
song_0117,Hothon Se Jaan Chali Jayegi,Jaani Dushman,1979,Evergreen;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0118,Pyaar Mein Dil Pe,Mahaan,1983,80s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0119,Inteha Ho Gayi Intezaar Ki,Sharaabi,1984,80s;Sad;Romantic,Sad,Low,Night,Hindi,curated_catalog
song_0120,De De Pyaar De,Sharaabi,1984,80s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0121,Manzilen Apni Jagah Hain,Sharaabi,1984,80s;Travel;Reflective,Reflective,Low,Night,Hindi,curated_catalog
song_0122,Aye Zindagi Gale Laga Le,Sadma,1983,80s;Sad;Evergreen,Reflective,Low,Night,Hindi,curated_catalog
song_0123,Surmayee Ankhiyon Mein,Sadma,1983,80s;Romantic,Relaxed,Low,Night,Hindi,curated_catalog
song_0124,Tum Se Milkar Na Jaane Kyun,Pyar Jhukta Nahin,1985,80s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0125,Aye Dil-E-Nadaan,Razia Sultan,1983,80s;Sad;Evergreen,Reflective,Low,Night,Hindi,curated_catalog
song_0126,Dil Ke Armaan Aansuon Mein Beh Gaye,Nikaah,1982,80s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0127,Chitthi Aayi Hai,Naam,1986,80s;Sad;Driver,Sad,Low,Night,Hindi,curated_catalog
song_0128,Tu Kal Chala Jayega,Naam,1986,80s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0129,Aap Ke Aa Jaane Se,Khudgarz,1987,80s;Dance;Romantic,Happy,High,Any,Hindi,curated_catalog
song_0130,Jab Chhaye Mera Jadoo,Lootmaar,1980,80s;Dance,Party,High,Any,Hindi,curated_catalog
